Date,Stock Price,Option Price,Implied Volatility,Delta,PNL,PNL Hedged
2011-07-05,532.44,44.2,0.207,0.732854,0,0
2011-07-06,535.36,46.9,0.214,0.743968,-2.7,-0.562676
2011-07-07,546.6,55.3,0.214,0.799882,-11.1,-0.603265
2011-07-08,531.99,43.95,0.212,0.729611,0.25,-0.942118
2011-07-11,527.28,41,0.221,0.69991,3.2,-1.43091
2011-07-12,534.01,46.4,0.229,0.732503,-2.2,-2.12288
2011-07-13,538.26,49.3,0.228,0.756111,-5.1,-1.91194
2011-07-14,528.94,41.15,0.216,0.716098,3.05,-0.811038
2011-07-15,597.62,99.65,0.221,0.951588,-55.45,-10.1314
2011-07-18,594.94,97.65,0.24,0.93754,-53.45,-10.6845
2011-07-19,602.55,103.8,0.21,0.969662,-59.6,-9.70303
2011-07-20,595.35,97.8,0.237,0.943318,-53.6,-10.6883
2011-07-21,606.99,108.15,0.215,0.973562,-63.95,-10.0618
2011-07-22,618.23,118.7,0.187,0.992577,-74.5,-9.67291
2011-07-25,618.98,119.95,0.232,0.97959,-75.75,-10.1825
2011-07-26,622.52,123.25,0.224,0.985707,-79.05,-10.0189
2011-07-27,607.22,108.65,0.24,0.967156,-64.45,-10.5044
2011-07-28,610.94,112.1,0.236,0.974086,-67.9,-10.3606
2011-07-29,603.69,106.8,0.291,0.935963,-62.6,-12.1267
